SaleID,price
200000,1231.1106
200001,1871.9181
200002,8884.513
200003,1177.1284
200004,1983.6565
200005,1080.2689
200006,429.2601
200007,3309.4717
200008,13242.813
200009,605.51
200010,669.4232
200011,2673.946
200012,6054.8633
200013,6779.9365
200014,1356.05
200015,249.84926
200016,1729.5696
200017,8415.503
200018,6933.0137
200019,1060.8276
200020,24164.623
200021,7934.2256
200022,2021.7495
200023,1484.019
200024,891.75616
200025,7714.787
200026,471.4953
200027,12300.706
200028,4009.1348
200029,7800.3105
200030,17358.246
200031,13269.487
200032,606.03436
200033,14750.141
200034,820.28613
200035,1981.0505
200036,13766.317
200037,5663.3174
200038,1558.3696
200039,344.04987
200040,589.9318
200041,23329.713
200042,447.994
200043,7286.354
200044,18783.21
200045,494.09076
200046,14920.296
200047,17549.068
200048,2526.0308
200049,3242.0015
200050,748.1397
200051,4366.6875
200052,2880.558
200053,500.6707
200054,12348.295
200055,10148.27
200056,4867.1523
200057,3386.1138
200058,1122.8884
200059,5208.252
200060,8454.997
200061,1122.916
200062,5593.0757
200063,8166.184
200064,1287.4034
200065,1624.554
200066,475.6568
200067,9419.054
200068,203.91643
200069,16963.508
200070,8826.682
200071,301.29794
200072,6586.431
200073,18563.365
200074,4311.6406
200075,9935.235
200076,2975.4814
200077,343.84747
200078,348.97134
200079,2950.4744
200080,3134.221
200081,2107.8557
200082,3515.8086
200083,397.51294
200084,1217.6622
200085,1446.4946
200086,7248.033
200087,3366.8555
200088,2386.7664
200089,41724.344
200090,2582.697
200091,199.38322
200092,1497.7003
200093,16459.105
200094,6522.912
200095,5909.4204
200096,2396.8142
200097,1147.1697
200098,441.89426
200099,24253.355
200100,21000.754
200101,7160.244
200102,1774.1405
200103,10655.394
200104,5431.769
200105,4427.325
200106,8068.3945
200107,2265.2788
200108,13172.678
200109,7492.891
200110,602.61633
200111,1881.0237
200112,1775.1785
200113,1054.0444
200114,2428.936
200115,1182.1433
200116,14448.694
200117,15693.533
200118,66155.766
200119,192.3667
200120,3115.6167
200121,2551.2124
200122,672.3431
200123,2517.1333
200124,55830.676
200125,608.1294
200126,2977.3086
200127,15996.992
200128,1637.7185
200129,5911.093
200130,3828.8623
200131,2553.8906
200132,1277.5981
200133,3183.0984
200134,1404.8086
200135,2775.622
200136,3993.4734
200137,826.45215
200138,9961.642
200139,6626.343
200140,2812.2786
200141,1441.1174
200142,6937.5723
200143,7248.94
200144,1352.6658
200145,6464.05
200146,2606.7312
200147,4527.203
200148,2978.758
200149,200.81502
200150,10864.708
200151,4796.4463
200152,600.2425
200153,493.40314
200154,7696.712
200155,2346.468
200156,15903.491
200157,8253.011
200158,9864.188
200159,285.71793
200160,6767.038
200161,7136.8584
200162,6789.2383
200163,1159.231
200164,16656.512
200165,15839.497
200166,24112.748
200167,3952.0771
200168,33913.105
200169,704.6601
200170,2299.276
200171,8810.6045
200172,1969.8308
200173,37208.496
200174,521.901
200175,2528.4905
200176,8875.44
200177,5968.338
200178,5306.8706
200179,4218.0146
200180,913.0878
200181,18389.945
200182,4845.6533
200183,1554.3201
200184,2418.4023
200185,4137.073
200186,3510.7742
200187,5121.8037
200188,11216.438
200189,9743.573
200190,3111.4639
200191,2757.0981
200192,1134.2604
200193,5192.243
200194,7556.4663
200195,2278.743
200196,859.8111
200197,21465.861
200198,1338.4961
200199,4621.5767
200200,495.86856
200201,7479.6064
200202,2093.417
200203,1542.026
200204,8151.202
200205,5558.137
200206,704.08496
200207,4795.4717
200208,5991.955
200209,1653.3848
200210,13660.247
200211,5333.2217
200212,7523.0044
200213,8716.798
200214,19584.258
200215,6642.837
200216,3251.3003
200217,1192.3005
200218,9815.865
200219,1235.0011
200220,2769.7683
200221,7899.6035
200222,2166.459
200223,724.2401
200224,11958.855
200225,3149.425
200226,1172.6466
200227,8670.12
200228,205.44139
200229,7030.9365
200230,9003.454
200231,5024.4746
200232,954.67725
200233,7711.6323
200234,392.98868
200235,8223.969
200236,12559.128
200237,4876.0703
200238,6765.676
200239,8948.687
200240,25302.0
200241,10116.167
200242,4061.3179
200243,3042.8174
200244,6649.596
200245,3948.9146
200246,3964.503
200247,1663.1692
200248,228.93533
200249,10370.723
200250,28769.025
200251,10270.672
200252,897.8653
200253,9845.863
200254,11751.432
200255,6901.377
200256,2658.688
200257,9407.168
200258,3760.8425
200259,8062.3345
200260,1453.7151
200261,3871.9976
200262,2766.8252
200263,9214.623
200264,7209.296
200265,5937.2
200266,1314.6874
200267,14904.567
200268,6971.253
200269,3778.2925
200270,8899.599
200271,2790.7778
200272,2513.4785
200273,18181.357
200274,508.3322
200275,13867.554
200276,2714.9526
200277,3182.1367
200278,1614.0536
200279,9165.143
200280,2925.0586
200281,803.6841
200282,13269.963
200283,7197.3584
200284,390.07925
200285,4918.17
200286,3609.394
200287,11856.89
200288,11853.464
200289,3225.7617
200290,7024.4893
200291,7181.1123
200292,2157.4875
200293,8945.722
200294,6149.1265
200295,2232.4717
200296,3023.5662
200297,6958.551
200298,1352.4066
200299,5027.7764
200300,4962.616
200301,4624.9727
200302,1454.6965
200303,6078.234
200304,2716.0303
200305,4224.071
200306,1593.3057
200307,15279.788
200308,1359.6793
200309,972.7071
200310,1081.3611
200311,1247.5303
200312,11386.106
200313,1726.6448
200314,3938.491
200315,1141.8358
200316,38697.94
200317,2640.5903
200318,381.36575
